,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,gender,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
183,Unknown,24.0,,furniture/equipment,3777.0,High,Medium,4.0,Male,none,4.0,real estate,50.0,none,own,1.0,Qualified,1.0,yes,yes,good
184,Medium,18.0,,new car,884.0,Very Low,Very Long,4.0,Male,none,4.0,car,36.0,bank,own,1.0,Qualified,2.0,yes,yes,bad
185,Unknown,15.0,,radio/tv,1360.0,Very Low,Medium,4.0,Male,none,2.0,life insurance,31.0,none,own,2.0,Qualified,1.0,none,yes,good
186,Medium,9.0,,used car,5129.0,Very Low,Very Long,2.0,Female,none,4.0,no known property,74.0,bank,for free,1.0,High Qualified,2.0,yes,yes,bad
187,Medium,16.0,,new car,1175.0,Very Low,,2.0,Male,none,3.0,car,68.0,none,for free,3.0,Unemployed,1.0,yes,yes,good
188,Low,12.0,,radio/tv,674.0,Low,Long,4.0,Male,none,1.0,life insurance,20.0,none,own,1.0,Qualified,1.0,none,yes,bad
189,Medium,18.0,no credits,furniture/equipment,3244.0,Very Low,Medium,1.0,Female,none,4.0,car,33.0,bank,own,2.0,Qualified,1.0,yes,yes,good
190,Unknown,24.0,,business,4591.0,High,Medium,2.0,Male,none,3.0,life insurance,54.0,none,own,3.0,High Qualified,1.0,yes,yes,bad
191,Medium,48.0,no credits,business,3844.0,Low,Long,4.0,Male,none,4.0,no known property,34.0,none,for free,1.0,Unqualified,2.0,none,yes,bad
192,Medium,27.0,,business,3915.0,Very Low,Medium,4.0,Male,none,2.0,car,36.0,none,own,1.0,Qualified,2.0,yes,yes,bad
193,Unknown,6.0,,radio/tv,2108.0,Very Low,Long,2.0,Male,none,2.0,real estate,29.0,none,rent,1.0,Qualified,1.0,none,yes,good
194,Medium,45.0,,radio/tv,3031.0,Low,Medium,4.0,Male,guarantor,4.0,life insurance,21.0,none,rent,1.0,Qualified,1.0,none,yes,bad
195,Medium,9.0,,education,1501.0,Very Low,Very Long,2.0,Female,none,3.0,car,34.0,none,own,2.0,High Qualified,1.0,yes,yes,bad
196,Unknown,6.0,,radio/tv,1382.0,Very Low,Medium,1.0,Female,none,1.0,car,28.0,none,own,2.0,Qualified,1.0,yes,yes,good
197,Medium,12.0,,furniture/equipment,951.0,Low,Short,4.0,Female,none,4.0,car,27.0,bank,rent,4.0,Qualified,1.0,none,yes,bad
198,Medium,24.0,,used car,2760.0,Unknown,Very Long,4.0,Male,none,4.0,no known property,36.0,bank,for free,1.0,Qualified,1.0,yes,yes,good
199,Medium,18.0,,furniture/equipment,4297.0,Very Low,Very Long,4.0,Male,none,3.0,no known property,40.0,none,own,1.0,High Qualified,1.0,yes,yes,bad
200,Unknown,9.0,,education,936.0,Medium,Very Long,4.0,Male,none,2.0,car,52.0,none,own,2.0,Qualified,1.0,yes,yes,good
201,Low,12.0,,new car,1168.0,Very Low,Medium,4.0,Male,none,3.0,real estate,27.0,none,own,1.0,Unqualified,1.0,none,yes,good
202,Unknown,27.0,,business,5117.0,Very Low,Long,3.0,Male,none,4.0,car,26.0,none,own,2.0,Qualified,1.0,none,yes,good
203,Low,12.0,,retraining,902.0,Very Low,Long,4.0,Male,none,4.0,life insurance,21.0,none,rent,1.0,Qualified,1.0,none,yes,bad
204,Unknown,12.0,,new car,1495.0,Very Low,Very Long,4.0,Male,none,1.0,real estate,38.0,none,own,2.0,Unqualified,2.0,none,yes,good
205,Low,30.0,,used car,10623.0,Very Low,Very Long,3.0,Male,none,4.0,no known property,38.0,none,for free,3.0,High Qualified,2.0,yes,yes,good
206,Unknown,12.0,,furniture/equipment,1935.0,Very Low,Very Long,4.0,Male,none,4.0,real estate,43.0,none,own,3.0,Qualified,1.0,yes,yes,good
207,Medium,12.0,,domestic appliance,1424.0,Very Low,Long,4.0,Male,none,3.0,life insurance,26.0,none,own,1.0,Qualified,1.0,none,yes,good
208,Low,24.0,,business,6568.0,Very Low,Medium,2.0,Male,none,2.0,car,21.0,stores,own,1.0,Unqualified,1.0,none,yes,good
209,Unknown,12.0,,used car,1413.0,High,Long,3.0,Male,none,2.0,life insurance,55.0,none,own,1.0,Qualified,1.0,none,no,good
210,Unknown,9.0,,radio/tv,3074.0,Unknown,Medium,1.0,Male,none,2.0,real estate,33.0,none,own,2.0,Qualified,2.0,none,yes,good
211,Unknown,36.0,,radio/tv,3835.0,Unknown,Very Long,2.0,Female,none,4.0,real estate,45.0,none,own,1.0,Unqualified,1.0,yes,yes,good
212,Low,27.0,no credits,business,5293.0,Very Low,,2.0,Male,none,4.0,life insurance,50.0,stores,own,2.0,Qualified,1.0,yes,yes,bad
213,High,30.0,,business,1908.0,Very Low,Very Long,4.0,Male,none,4.0,real estate,66.0,none,own,1.0,High Qualified,1.0,yes,yes,bad
214,Unknown,36.0,,radio/tv,3342.0,Unknown,Very Long,4.0,Male,none,2.0,car,51.0,none,own,1.0,Qualified,1.0,yes,yes,good
215,Medium,6.0,,retraining,932.0,Unknown,Long,1.0,Female,none,3.0,life insurance,39.0,none,own,2.0,Unqualified,1.0,none,yes,good
216,Low,18.0,no credits,business,3104.0,Very Low,Long,3.0,Male,none,1.0,life insurance,31.0,bank,own,1.0,Qualified,1.0,yes,yes,good
217,High,36.0,,radio/tv,3913.0,Very Low,Medium,2.0,Male,none,2.0,real estate,23.0,none,own,1.0,Qualified,1.0,yes,yes,good
218,Low,24.0,,furniture/equipment,3021.0,Very Low,Medium,2.0,Male,none,2.0,real estate,24.0,none,rent,1.0,Unqualified,1.0,none,yes,good
219,Unknown,10.0,,new car,1364.0,Very Low,Medium,2.0,Female,none,4.0,car,64.0,none,own,1.0,Qualified,1.0,yes,yes,good
220,Medium,12.0,,radio/tv,625.0,Very Low,Short,4.0,Male,guarantor,1.0,real estate,26.0,bank,own,1.0,Unqualified,1.0,none,yes,good
221,Low,12.0,,education,1200.0,Unknown,Medium,4.0,Female,none,4.0,life insurance,23.0,bank,rent,1.0,Qualified,1.0,yes,yes,good
222,Unknown,12.0,,radio/tv,707.0,Very Low,Medium,4.0,Male,none,2.0,real estate,30.0,bank,own,2.0,Qualified,1.0,none,yes,good
223,Unknown,24.0,,business,2978.0,Unknown,Medium,4.0,Male,none,4.0,real estate,32.0,none,own,2.0,Qualified,2.0,yes,yes,good
224,Unknown,15.0,,used car,4657.0,Very Low,Medium,3.0,Male,none,2.0,car,30.0,none,own,1.0,Qualified,1.0,yes,yes,good
225,Unknown,36.0,no credits,repairs,2613.0,Very Low,Medium,4.0,Male,none,2.0,car,27.0,none,own,2.0,Qualified,1.0,none,yes,good
226,Medium,48.0,,radio/tv,10961.0,High,Long,1.0,Male,co applicant,2.0,no known property,27.0,bank,own,2.0,Qualified,1.0,yes,yes,bad
227,Low,12.0,,furniture/equipment,7865.0,Very Low,Very Long,4.0,Male,none,4.0,no known property,53.0,none,for free,1.0,High Qualified,1.0,yes,yes,bad
228,Unknown,9.0,,radio/tv,1478.0,Very Low,Long,4.0,Male,none,2.0,car,22.0,none,own,1.0,Qualified,1.0,none,yes,bad
229,Low,24.0,,furniture/equipment,3149.0,Very Low,Short,4.0,Male,none,1.0,no known property,22.0,bank,for free,1.0,Qualified,1.0,none,yes,good
230,High,36.0,,radio/tv,4210.0,Very Low,Medium,4.0,Male,none,2.0,car,26.0,none,own,1.0,Qualified,1.0,none,yes,bad
231,Unknown,9.0,,new car,2507.0,Medium,Very Long,2.0,Male,none,4.0,no known property,51.0,none,for free,1.0,Unqualified,1.0,none,yes,good
232,Unknown,12.0,,radio/tv,2141.0,Low,Long,3.0,Male,none,1.0,no known property,35.0,none,own,1.0,Qualified,1.0,none,yes,good
233,Medium,18.0,,radio/tv,866.0,Very Low,Medium,4.0,Male,guarantor,2.0,real estate,25.0,none,own,1.0,Unqualified,1.0,none,yes,good
234,Unknown,4.0,,radio/tv,1544.0,Very Low,Long,2.0,Male,none,1.0,real estate,42.0,none,own,3.0,Unqualified,2.0,none,yes,good
235,Low,24.0,,radio/tv,1823.0,Very Low,,4.0,Male,none,2.0,car,30.0,stores,own,1.0,High Qualified,2.0,none,yes,bad
236,Medium,6.0,,new car,14555.0,Unknown,,1.0,Male,none,2.0,life insurance,23.0,none,own,1.0,Unemployed,1.0,yes,yes,bad
237,Medium,21.0,,business,2767.0,Low,Very Long,4.0,Male,none,2.0,car,61.0,bank,rent,2.0,Unqualified,1.0,none,yes,bad
238,Unknown,12.0,,radio/tv,1291.0,Very Low,Medium,4.0,Female,none,2.0,life insurance,35.0,none,own,2.0,Qualified,1.0,none,yes,good
239,Low,30.0,,radio/tv,2522.0,Very Low,Very Long,1.0,Male,guarantor,3.0,life insurance,39.0,none,own,1.0,Qualified,2.0,none,yes,good
240,Low,24.0,,new car,915.0,Unknown,Very Long,4.0,Female,none,2.0,car,29.0,bank,own,1.0,Qualified,1.0,none,yes,bad
241,Unknown,6.0,,radio/tv,1595.0,Very Low,Long,3.0,Male,none,2.0,life insurance,51.0,none,own,1.0,Qualified,2.0,none,yes,good
242,Low,48.0,no credits,used car,4605.0,Very Low,Very Long,3.0,Male,none,4.0,no known property,24.0,none,for free,2.0,Qualified,2.0,none,yes,bad
243,Unknown,12.0,,business,1185.0,Very Low,Medium,3.0,Female,none,2.0,real estate,27.0,none,own,2.0,Qualified,1.0,none,yes,good
244,Unknown,12.0,,retraining,3447.0,Medium,Medium,4.0,Female,none,3.0,real estate,35.0,none,own,1.0,Unqualified,2.0,none,yes,good
245,Unknown,24.0,,business,1258.0,Very Low,Long,4.0,Male,none,1.0,real estate,25.0,none,own,1.0,Qualified,1.0,yes,yes,good
246,Unknown,12.0,,radio/tv,717.0,Very Low,Very Long,4.0,Male,none,4.0,real estate,52.0,none,own,3.0,Qualified,1.0,none,yes,good
247,Unknown,6.0,no credits,new car,1204.0,Low,Medium,4.0,Male,none,1.0,no known property,35.0,bank,rent,1.0,Qualified,1.0,none,no,good
248,High,24.0,,furniture/equipment,1925.0,Very Low,Medium,2.0,Male,none,2.0,real estate,26.0,none,own,1.0,Qualified,1.0,none,yes,good
249,Unknown,18.0,,radio/tv,433.0,Very Low,,3.0,Female,co applicant,4.0,real estate,22.0,none,rent,1.0,Qualified,1.0,none,yes,bad
250,Low,6.0,,new car,666.0,High,Long,3.0,Female,none,4.0,real estate,39.0,none,own,2.0,Unqualified,1.0,yes,yes,good
251,High,12.0,,furniture/equipment,2251.0,Very Low,Medium,1.0,Female,none,2.0,car,46.0,none,own,1.0,Unqualified,1.0,none,yes,good
252,Medium,30.0,,new car,2150.0,Very Low,Medium,4.0,Female,guarantor,2.0,no known property,24.0,bank,own,1.0,Qualified,1.0,none,yes,bad
253,Unknown,24.0,,furniture/equipment,4151.0,Low,Medium,2.0,Male,none,3.0,life insurance,35.0,none,own,2.0,Qualified,1.0,none,yes,good
254,Medium,9.0,,furniture/equipment,2030.0,Unknown,Long,2.0,Male,none,1.0,car,24.0,none,own,1.0,Qualified,1.0,yes,yes,good
255,Medium,60.0,,radio/tv,7418.0,Unknown,Medium,1.0,Male,none,1.0,real estate,27.0,none,own,1.0,Unqualified,1.0,none,yes,good
256,Unknown,24.0,,radio/tv,2684.0,Very Low,Medium,4.0,Male,none,2.0,real estate,35.0,none,own,2.0,Unqualified,1.0,none,yes,good
257,Low,12.0,,radio/tv,2149.0,Very Low,Medium,4.0,Male,none,1.0,no known property,29.0,none,for free,1.0,Qualified,1.0,none,yes,bad
258,Unknown,15.0,,used car,3812.0,Low,Short,1.0,Female,none,4.0,car,23.0,none,own,1.0,Qualified,1.0,yes,yes,good
259,Unknown,11.0,,radio/tv,1154.0,Low,,4.0,Female,none,4.0,real estate,57.0,none,own,3.0,Unqualified,1.0,none,yes,good
260,Low,12.0,,furniture/equipment,1657.0,Very Low,Medium,2.0,Male,none,2.0,real estate,27.0,none,own,1.0,Qualified,1.0,none,yes,good
261,Low,24.0,,radio/tv,1603.0,Very Low,Very Long,4.0,Female,none,4.0,car,55.0,none,own,1.0,Qualified,1.0,none,yes,good
262,Low,18.0,,new car,5302.0,Very Low,Very Long,2.0,Male,none,4.0,no known property,36.0,none,for free,3.0,High Qualified,1.0,yes,yes,good
263,Unknown,12.0,,education,2748.0,Very Low,Very Long,2.0,Female,none,4.0,no known property,57.0,bank,for free,3.0,Unqualified,1.0,none,yes,good
264,Unknown,10.0,,new car,1231.0,Very Low,Very Long,3.0,Male,none,4.0,real estate,32.0,none,own,2.0,Unqualified,2.0,none,no,good
265,Medium,15.0,,radio/tv,802.0,Very Low,Very Long,4.0,Male,none,3.0,car,37.0,none,own,1.0,Qualified,2.0,none,yes,bad
266,Unknown,36.0,,business,6304.0,Unknown,Very Long,4.0,Male,none,4.0,real estate,36.0,none,own,2.0,Qualified,1.0,none,yes,good
267,Unknown,24.0,,radio/tv,1533.0,Very Low,Short,4.0,Female,none,3.0,car,38.0,stores,own,1.0,Qualified,1.0,yes,yes,good
268,Low,14.0,,new car,8978.0,Very Low,Very Long,1.0,Male,none,4.0,life insurance,45.0,none,own,1.0,High Qualified,1.0,yes,no,bad
269,Unknown,24.0,,radio/tv,999.0,Unknown,Very Long,4.0,Male,none,2.0,car,25.0,none,own,2.0,Qualified,1.0,none,yes,good
270,Unknown,18.0,,new car,2662.0,Unknown,Long,4.0,Male,none,3.0,life insurance,32.0,none,own,1.0,Qualified,1.0,none,no,good
271,Unknown,12.0,,furniture/equipment,1402.0,Medium,Long,3.0,Female,none,4.0,car,37.0,none,rent,1.0,Qualified,1.0,yes,yes,good
272,Medium,48.0,,new car,12169.0,Unknown,,4.0,Male,co applicant,4.0,no known property,36.0,none,for free,1.0,High Qualified,1.0,yes,yes,good
273,Medium,48.0,,radio/tv,3060.0,Very Low,Long,4.0,Male,none,4.0,real estate,28.0,none,own,2.0,Qualified,1.0,none,yes,bad
274,Low,30.0,,repairs,11998.0,Very Low,Short,1.0,Male,none,1.0,no known property,34.0,none,own,1.0,Unqualified,1.0,yes,yes,bad
275,Unknown,9.0,,radio/tv,2697.0,Very Low,Medium,1.0,Male,none,2.0,real estate,32.0,none,own,1.0,Qualified,2.0,none,yes,good
276,Unknown,18.0,,radio/tv,2404.0,Very Low,Medium,2.0,Female,none,2.0,car,26.0,none,own,2.0,Qualified,1.0,none,yes,good
277,Low,12.0,,furniture/equipment,1262.0,Unknown,Very Long,2.0,Male,none,4.0,life insurance,49.0,none,own,1.0,Unqualified,1.0,yes,yes,good
278,Unknown,6.0,,furniture/equipment,4611.0,Very Low,Short,1.0,Female,none,4.0,life insurance,32.0,none,own,1.0,Qualified,1.0,none,yes,bad
279,Unknown,24.0,,radio/tv,1901.0,Low,Medium,4.0,Male,none,4.0,car,29.0,none,rent,1.0,High Qualified,1.0,yes,yes,good
280,Unknown,15.0,,used car,3368.0,High,Very Long,3.0,Male,none,4.0,no known property,23.0,none,rent,2.0,Qualified,1.0,yes,yes,good
281,Unknown,12.0,,furniture/equipment,1574.0,Very Low,Medium,4.0,Male,none,2.0,real estate,50.0,none,own,1.0,Qualified,1.0,none,yes,good
282,High,18.0,,radio/tv,1445.0,Unknown,Long,4.0,Male,none,4.0,car,49.0,bank,own,1.0,Unqualified,1.0,none,yes,good
283,Unknown,15.0,,furniture/equipment,1520.0,Unknown,Very Long,4.0,Male,none,4.0,life insurance,63.0,none,own,1.0,Qualified,1.0,none,yes,good
284,Medium,24.0,,new car,3878.0,Low,Short,4.0,Male,none,2.0,car,37.0,none,own,1.0,Qualified,1.0,yes,yes,good
285,Low,47.0,,new car,10722.0,Very Low,Short,1.0,Female,none,1.0,real estate,35.0,none,own,1.0,Unqualified,1.0,yes,yes,good
286,Low,48.0,,used car,4788.0,Very Low,Long,4.0,Male,none,3.0,life insurance,26.0,none,own,1.0,Qualified,2.0,none,yes,good
287,Medium,48.0,,other,7582.0,Low,,2.0,Male,none,4.0,no known property,31.0,none,for free,1.0,High Qualified,1.0,yes,yes,good
288,Medium,12.0,,radio/tv,1092.0,Very Low,Medium,4.0,Female,guarantor,4.0,real estate,49.0,none,own,2.0,Qualified,1.0,yes,yes,good
289,Low,24.0,,radio/tv,1024.0,Very Low,Short,4.0,Male,none,4.0,real estate,48.0,stores,own,1.0,Qualified,1.0,none,yes,bad
290,Unknown,12.0,,business,1076.0,Very Low,Medium,2.0,Male,none,2.0,real estate,26.0,none,own,1.0,Qualified,1.0,yes,no,good
291,Medium,36.0,,used car,9398.0,Very Low,Short,1.0,Male,none,4.0,car,28.0,none,rent,1.0,High Qualified,1.0,yes,yes,bad
292,Low,24.0,,used car,6419.0,Very Low,Very Long,2.0,Female,none,4.0,no known property,44.0,none,for free,2.0,High Qualified,2.0,yes,yes,good
293,High,42.0,,used car,4796.0,Very Low,Very Long,4.0,Male,none,4.0,no known property,56.0,none,for free,1.0,Qualified,1.0,none,yes,good
294,Unknown,48.0,,business,7629.0,Unknown,Very Long,4.0,Male,none,2.0,car,46.0,bank,own,2.0,High Qualified,2.0,none,yes,good
295,Medium,48.0,,furniture/equipment,9960.0,Very Low,Short,1.0,Female,none,2.0,car,26.0,none,own,1.0,Qualified,1.0,yes,yes,bad
296,Unknown,12.0,,used car,4675.0,Unknown,Short,1.0,Female,none,4.0,car,20.0,none,rent,1.0,Qualified,1.0,none,yes,good
297,Unknown,10.0,,new car,1287.0,Unknown,Very Long,4.0,Male,co applicant,2.0,life insurance,45.0,none,own,1.0,Unqualified,1.0,none,no,good
298,Unknown,18.0,,furniture/equipment,2515.0,Very Low,Medium,3.0,Male,none,4.0,real estate,43.0,none,own,1.0,Qualified,1.0,yes,yes,good
299,Medium,21.0,,furniture/equipment,2745.0,High,Long,3.0,Male,none,2.0,car,32.0,none,own,2.0,Qualified,1.0,yes,yes,good
300,Unknown,6.0,,new car,672.0,Very Low,,1.0,Female,none,4.0,real estate,54.0,none,own,1.0,Unemployed,1.0,yes,yes,good
301,Medium,36.0,no credits,radio/tv,3804.0,Very Low,Medium,4.0,Female,none,1.0,car,42.0,none,own,1.0,Qualified,1.0,yes,yes,bad
302,High,24.0,,new car,1344.0,Unknown,Long,4.0,Male,none,2.0,real estate,37.0,bank,own,2.0,Unqualified,2.0,none,yes,bad
303,Low,10.0,,new car,1038.0,Very Low,Long,4.0,Male,co applicant,3.0,life insurance,49.0,none,own,2.0,Qualified,1.0,yes,yes,good
304,Unknown,48.0,,new car,10127.0,Medium,Medium,2.0,Male,none,2.0,no known property,44.0,bank,for free,1.0,Qualified,1.0,none,yes,bad
305,Unknown,6.0,,furniture/equipment,1543.0,High,Medium,4.0,Male,none,2.0,real estate,33.0,none,own,1.0,Qualified,1.0,none,yes,good
306,Unknown,30.0,,used car,4811.0,Unknown,Long,2.0,Female,none,4.0,life insurance,24.0,stores,rent,1.0,Unqualified,1.0,none,yes,good
307,Low,12.0,,radio/tv,727.0,Low,Short,4.0,Male,none,3.0,no known property,33.0,none,own,1.0,Unqualified,1.0,yes,yes,bad
308,Medium,8.0,,furniture/equipment,1237.0,Very Low,Medium,3.0,Female,none,4.0,real estate,24.0,none,own,1.0,Qualified,1.0,none,yes,bad
309,Medium,9.0,,new car,276.0,Very Low,Medium,4.0,Male,none,4.0,real estate,22.0,none,rent,1.0,Unqualified,1.0,none,yes,good
310,Medium,48.0,,other,5381.0,Unknown,,3.0,Male,none,4.0,no known property,40.0,bank,for free,1.0,Unemployed,1.0,yes,yes,good
311,Unknown,24.0,,furniture/equipment,5511.0,Low,Medium,4.0,Male,none,1.0,car,25.0,stores,own,1.0,Qualified,1.0,none,yes,good
312,High,24.0,,furniture/equipment,3749.0,Very Low,Short,2.0,Female,none,4.0,car,26.0,none,own,1.0,Qualified,1.0,none,yes,good
313,Medium,12.0,,new car,685.0,Very Low,Long,2.0,Male,none,3.0,car,25.0,bank,own,1.0,Unqualified,1.0,none,yes,bad
314,High,4.0,,new car,1494.0,Unknown,Short,1.0,Male,none,2.0,real estate,29.0,none,own,1.0,Unqualified,2.0,none,no,good
315,Low,36.0,,furniture/equipment,2746.0,Very Low,Very Long,4.0,Male,none,4.0,car,31.0,bank,own,1.0,Qualified,1.0,none,yes,bad
316,Low,12.0,,furniture/equipment,708.0,Very Low,Medium,2.0,Male,guarantor,3.0,life insurance,38.0,none,own,1.0,Unqualified,2.0,none,yes,good
317,Medium,24.0,,furniture/equipment,4351.0,Unknown,Medium,1.0,Female,none,4.0,life insurance,48.0,none,own,1.0,Unqualified,1.0,yes,yes,good
318,Unknown,12.0,,education,701.0,Very Low,Medium,4.0,Male,none,2.0,car,32.0,none,own,2.0,Qualified,1.0,none,yes,good
319,Low,15.0,,furniture/equipment,3643.0,Very Low,Very Long,1.0,Female,none,4.0,life insurance,27.0,none,own,2.0,Unqualified,1.0,none,yes,good
320,Medium,30.0,,new car,4249.0,Very Low,,4.0,Male,none,2.0,car,28.0,none,own,2.0,High Qualified,1.0,none,yes,bad
321,Low,24.0,,radio/tv,1938.0,Very Low,Short,4.0,Male,none,3.0,life insurance,32.0,none,own,1.0,Qualified,1.0,none,yes,bad
322,Low,24.0,,used car,2910.0,Very Low,Long,2.0,Male,none,1.0,no known property,34.0,none,for free,1.0,High Qualified,1.0,yes,yes,good
323,Low,18.0,,furniture/equipment,2659.0,High,Medium,4.0,Male,none,2.0,car,28.0,none,own,1.0,Qualified,1.0,none,yes,good
324,Unknown,18.0,,new car,1028.0,Very Low,Medium,4.0,Female,none,3.0,real estate,36.0,none,own,2.0,Qualified,1.0,none,yes,good
325,Low,8.0,,new car,3398.0,Very Low,Long,1.0,Male,none,4.0,real estate,39.0,none,own,2.0,Unqualified,1.0,none,no,good
326,Unknown,12.0,,furniture/equipment,5801.0,Unknown,Very Long,2.0,Male,none,4.0,life insurance,49.0,none,rent,1.0,Qualified,1.0,yes,yes,good
327,Unknown,24.0,,new car,1525.0,High,Long,4.0,Female,none,3.0,car,34.0,none,own,1.0,Qualified,2.0,yes,yes,good
328,High,36.0,,radio/tv,4473.0,Very Low,Very Long,4.0,Male,none,2.0,car,31.0,none,own,1.0,Qualified,1.0,none,yes,good
329,Medium,6.0,,radio/tv,1068.0,Very Low,Very Long,4.0,Male,none,4.0,car,28.0,none,own,1.0,Qualified,2.0,none,yes,good
330,Low,24.0,,used car,6615.0,Very Low,,2.0,Male,none,4.0,no known property,75.0,none,for free,2.0,High Qualified,1.0,yes,yes,good
331,Unknown,18.0,,education,1864.0,Low,Medium,4.0,Female,none,2.0,real estate,30.0,none,own,2.0,Qualified,1.0,none,yes,bad
332,Medium,60.0,,new car,7408.0,Low,Short,4.0,Female,none,2.0,life insurance,24.0,none,own,1.0,High Qualified,1.0,none,yes,bad
333,Unknown,48.0,,used car,11590.0,Low,Medium,2.0,Female,none,4.0,car,24.0,bank,rent,2.0,Unqualified,1.0,none,yes,bad
334,Low,24.0,no credits,furniture/equipment,4110.0,Very Low,Very Long,3.0,Male,none,4.0,no known property,23.0,bank,rent,2.0,Qualified,2.0,none,yes,bad
335,Low,6.0,,furniture/equipment,3384.0,Very Low,Medium,1.0,Male,none,4.0,real estate,44.0,none,rent,1.0,High Qualified,1.0,yes,yes,bad
336,Medium,13.0,,radio/tv,2101.0,Very Low,Short,2.0,Female,guarantor,4.0,life insurance,23.0,none,own,1.0,Unqualified,1.0,none,yes,good
337,Low,15.0,,domestic appliance,1275.0,Unknown,Medium,4.0,Female,none,2.0,car,24.0,none,rent,1.0,Qualified,1.0,none,yes,bad
338,Low,24.0,,furniture/equipment,4169.0,Very Low,Medium,4.0,Male,none,4.0,life insurance,28.0,none,own,1.0,Qualified,1.0,none,yes,good
339,Medium,10.0,,furniture/equipment,1521.0,Very Low,Medium,4.0,Male,none,2.0,car,31.0,none,own,1.0,Unqualified,1.0,none,yes,good
340,Medium,24.0,,education,5743.0,Very Low,Short,2.0,Female,none,4.0,no known property,24.0,none,for free,2.0,Qualified,1.0,yes,yes,good
341,Low,21.0,,furniture/equipment,3599.0,Very Low,Long,1.0,Female,none,4.0,car,26.0,none,rent,1.0,Unqualified,1.0,none,yes,good
342,Medium,18.0,,radio/tv,3213.0,Medium,Short,1.0,Male,none,3.0,real estate,25.0,none,rent,1.0,Qualified,1.0,none,yes,good
343,Medium,18.0,,business,4439.0,Very Low,Very Long,1.0,Male,co applicant,1.0,real estate,33.0,bank,own,1.0,High Qualified,1.0,yes,yes,good
344,High,10.0,,new car,3949.0,Very Low,Short,1.0,Male,guarantor,1.0,life insurance,37.0,none,own,1.0,Unqualified,2.0,none,yes,good
345,Unknown,15.0,,radio/tv,1459.0,Very Low,Medium,4.0,Female,none,2.0,car,43.0,none,own,1.0,Unqualified,1.0,none,yes,good
346,Medium,13.0,,radio/tv,882.0,Very Low,Short,4.0,Male,guarantor,4.0,real estate,23.0,none,own,2.0,Qualified,1.0,none,yes,good
347,Medium,24.0,,radio/tv,3758.0,Medium,,1.0,Female,none,4.0,no known property,23.0,none,rent,1.0,Unemployed,1.0,none,yes,good
348,Unknown,6.0,,business,1743.0,Low,Medium,1.0,Male,none,2.0,real estate,34.0,none,own,2.0,Unqualified,1.0,none,yes,good
349,Medium,9.0,,education,1136.0,High,Very Long,4.0,Male,none,3.0,no known property,32.0,none,for free,2.0,Qualified,2.0,none,yes,bad
350,Unknown,9.0,,domestic appliance,1236.0,Very Low,Short,1.0,Female,none,4.0,real estate,23.0,none,rent,1.0,Qualified,1.0,yes,yes,good
351,Medium,9.0,,furniture/equipment,959.0,Very Low,Medium,1.0,Female,none,2.0,car,29.0,none,own,1.0,Qualified,1.0,none,no,bad
352,Unknown,18.0,,used car,3229.0,Unknown,,2.0,Male,none,4.0,no known property,38.0,none,own,1.0,High Qualified,1.0,yes,yes,good
353,Low,12.0,no credits,radio/tv,6199.0,Very Low,Medium,4.0,Male,none,2.0,life insurance,28.0,none,rent,2.0,Qualified,1.0,yes,yes,bad
354,Unknown,10.0,,education,727.0,Medium,Very Long,4.0,Male,none,4.0,no known property,46.0,none,for free,1.0,Qualified,1.0,yes,yes,good
355,Medium,24.0,,new car,1246.0,Very Low,Short,4.0,Male,none,2.0,real estate,23.0,stores,own,1.0,Unqualified,1.0,none,yes,bad
356,Unknown,12.0,,radio/tv,2331.0,Unknown,Very Long,1.0,Male,co applicant,4.0,real estate,49.0,none,own,1.0,Qualified,1.0,yes,yes,good
357,Unknown,36.0,,radio/tv,4463.0,Very Low,Medium,4.0,Male,none,2.0,car,26.0,none,own,2.0,High Qualified,1.0,yes,yes,bad
358,Unknown,12.0,,radio/tv,776.0,Very Low,Medium,4.0,Male,none,2.0,real estate,28.0,none,own,1.0,Qualified,1.0,none,yes,good
359,Low,30.0,,furniture/equipment,2406.0,Very Low,Long,4.0,Female,none,4.0,real estate,23.0,none,rent,1.0,Qualified,1.0,none,yes,bad
360,Medium,18.0,,education,1239.0,Unknown,Medium,4.0,Male,none,4.0,no known property,61.0,none,for free,1.0,Qualified,1.0,none,yes,good
361,High,12.0,,radio/tv,3399.0,Unknown,Very Long,2.0,Male,none,3.0,car,37.0,none,own,1.0,High Qualified,1.0,none,yes,good
362,High,12.0,,new car,2247.0,Very Low,Medium,2.0,Female,none,2.0,car,36.0,stores,own,2.0,Qualified,1.0,yes,yes,good
363,Unknown,6.0,,furniture/equipment,1766.0,Very Low,Medium,1.0,Male,none,2.0,life insurance,21.0,none,rent,1.0,Qualified,1.0,none,yes,good
364,Low,18.0,,furniture/equipment,2473.0,Very Low,,4.0,Male,none,1.0,car,25.0,none,own,1.0,Unemployed,1.0,none,yes,bad
365,Unknown,12.0,,business,1542.0,Very Low,Long,2.0,Male,none,4.0,car,36.0,none,own,1.0,Qualified,1.0,yes,yes,good
366,Unknown,18.0,,used car,3850.0,Very Low,Long,3.0,Male,none,1.0,car,27.0,none,own,2.0,Qualified,1.0,none,yes,good
